season,scheduled_date,attendance,market,name,team_code,team_id,alias,current_division,points_game,win,opp_market,opp_name,opp_code,opp_id,opp_alias,opp_current_division,opp_points_game
2000,,0,,,585,,,,61,FALSE,,,177,,,,71
2000,,0,,,803,,,,56,FALSE,,,800,,,,70
2000,,0,,,1196,,,,69,FALSE,,,8911,,,,90
2000,,0,,,583,,,,78,FALSE,,,8486,,,,84
2000,,0,,,373,,,,65,FALSE,,,239,,,,82
2000,,0,,,336,,,,75,FALSE,,,784,,,,79
2000,,0,,,146,,,,55,FALSE,,,23624,,,,82
1999,,0,,,784,,,,75,FALSE,,,179,,,,85
1999,,0,,,764,,,,73,FALSE,,,151,,,,76
1999,,0,,,737,,,,68,FALSE,,,24,,,,79
1999,,0,,,618,,,,67,FALSE,,,8597,,,,88
1999,,0,,,564,,,,76,FALSE,,,319,,,,82
1999,,0,,,547,,,,63,FALSE,,,420,,,,67
1999,,0,,,420,,,,73,FALSE,,,73,,,,79
1999,,0,,,1066,,,,62,FALSE,,,1036,,,,64
1999,,0,,,179,,,,84,FALSE,,,336,,,,89
1999,,0,,,118,,,,74,FALSE,,,60,,,,86
1999,,0,,,73,,,,49,FALSE,,,137,,,,87
1999,,0,,,555,,,,52,FALSE,,,377,,,,68
1996,,,,,8981,,,,73,FALSE,,,324,,,,94
1996,,,,,614,,,,47,FALSE,,,348,,,,51
1996,,,,,777,,,,89,FALSE,,,227,,,,94
1997,,,,,336,,,,66,FALSE,,,179,,,,69
1997,,,,,242,,,,47,FALSE,,,78,,,,59
1998,,,,,764,,,,68,FALSE,,,673,,,,84
1998,,,,,615,,,,65,FALSE,,,60,,,,75
1998,,,,,151,,,,59,FALSE,,,789,,,,72
1998,,,,,267,,,,74,FALSE,,,713,,,,78
2000,,0,,,686,,,,62,FALSE,,,185,,,,77
1999,,0,,,607,,,,65,FALSE,,,570,,,,78
1999,,0,,,344,,,,57,FALSE,,,137,,,,76
1997,,,,,325,,,,54,FALSE,,,211,,,,108
1996,,,,,200,,,,66,FALSE,,,571,,,,87
1997,,,,,73,,,,52,FALSE,,,322,,,,74
1998,,,,,79,,,,52,FALSE,,,814,,,,65
1998,,,,,1340,,,,60,FALSE,,,279,,,,72
1996,,,,,605,,,,64,FALSE,,,789,,,,79
1996,,,,,121,,,,53,FALSE,,,492,,,,66
1996,,,,,325,,,,72,FALSE,,,211,,,,91
1996,,,,,424,,,,72,FALSE,,,778,,,,75
1997,,,,,330,,,,80,FALSE,,,770,,,,85
1997,,,,,662,,,,47,FALSE,,,571,,,,72
1997,,,,,265,,,,65,FALSE,,,1434,,,,67
1997,,,,,242,,,,68,FALSE,,,530,,,,81
1997,,,,,803,,,,88,FALSE,,,805,,,,92
1997,,,,,247,,,,64,FALSE,,,607,,,,89
1997,,,,,770,,,,59,FALSE,,,548,,,,75
1997,,,,,73,,,,67,FALSE,,,755,,,,86
1997,,,,,185,,,,51,FALSE,,,239,,,,84
1997,,,,,737,,,,59,FALSE,,,567,,,,73
1998,,,,,45,,,,67,FALSE,,,145,,,,81
1998,,,,,190,,,,63,FALSE,,,679,,,,65
1998,,,,,424,,,,69,FALSE,,,300,,,,87
1998,,,,,8398,,,,53,FALSE,,,2730,,,,62
1998,,,,,264,,,,118,FALSE,,,577,,,,143
2000,,0,,,712,,,,95,FALSE,,,681,,,,98
1999,,0,,,211,,,,61,FALSE,,,16,,,,66
1996,,,,,1066,,,,60,FALSE,,,803,,,,70
1999,,0,,,588,,,,45,FALSE,,,787,,,,78
1999,,0,,,247,,,,57,FALSE,,,78,,,,72
1999,,0,,,118,,,,58,FALSE,,,615,,,,67
1996,,,,,1064,,,,70,FALSE,,,621,,,,83
1996,,,,,511,,,,61,FALSE,,,45,,,,93
1996,,,,,238,,,,59,FALSE,,,621,,,,75
1996,,,,,538,,,,64,FALSE,,,531,,,,70
1996,,,,,548,,,,77,FALSE,,,656,,,,82
1996,,,,,552,,,,65,FALSE,,,168,,,,82
1996,,,,,570,,,,60,FALSE,,,267,,,,84
1996,,,,,577,,,,68,FALSE,,,337,,,,71
1996,,,,,803,,,,71,FALSE,,,798,,,,73
1996,,,,,717,,,,67,FALSE,,,69,,,,75
1996,,,,,755,,,,77,FALSE,,,479,,,,91
1997,,,,,564,,,,46,FALSE,,,292,,,,85
1997,,,,,770,,,,71,FALSE,,,656,,,,72
1997,,,,,759,,,,61,FALSE,,,64,,,,72
1997,,,,,615,,,,56,FALSE,,,266,,,,70
1997,,,,,588,,,,94,FALSE,,,442,,,,102
1997,,,,,583,,,,74,FALSE,,,1064,,,,85
1997,,,,,376,,,,59,FALSE,,,38,,,,88
